# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS Y_{fp}   
# xbins      : 60   
# xlabel     :  Y_{fp} [cm]   
# xbin_width : 0.500 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-14.750,-15.000,-14.500,0.000,0.000
2,-14.250,-14.500,-14.000,0.000,0.000
3,-13.750,-14.000,-13.500,0.000,0.000
4,-13.250,-13.500,-13.000,0.000,0.000
5,-12.750,-13.000,-12.500,0.000,0.000
6,-12.250,-12.500,-12.000,0.000,0.000
7,-11.750,-12.000,-11.500,0.000,0.000
8,-11.250,-11.500,-11.000,0.000,0.000
9,-10.750,-11.000,-10.500,0.000,0.000
10,-10.250,-10.500,-10.000,0.000,0.000
11,-9.750,-10.000,-9.500,0.000,0.000
12,-9.250,-9.500,-9.000,0.000,0.000
13,-8.750,-9.000,-8.500,0.000,0.000
14,-8.250,-8.500,-8.000,0.000,0.000
15,-7.750,-8.000,-7.500,0.000,0.000
16,-7.250,-7.500,-7.000,0.000,0.000
17,-6.750,-7.000,-6.500,0.000,0.000
18,-6.250,-6.500,-6.000,0.000,0.000
19,-5.750,-6.000,-5.500,0.001,0.000
20,-5.250,-5.500,-5.000,0.002,0.000
21,-4.750,-5.000,-4.500,0.003,0.000
22,-4.250,-4.500,-4.000,0.004,0.000
23,-3.750,-4.000,-3.500,0.007,0.000
24,-3.250,-3.500,-3.000,0.012,0.000
25,-2.750,-3.000,-2.500,0.020,0.001
26,-2.250,-2.500,-2.000,0.032,0.001
27,-1.750,-2.000,-1.500,0.055,0.001
28,-1.250,-1.500,-1.000,0.096,0.002
29,-0.750,-1.000,-0.500,0.196,0.003
30,-0.250,-0.500,0.000,0.691,0.021
31,0.250,0.000,0.500,3.196,0.121
32,0.750,0.500,1.000,10.185,0.355
33,1.250,1.000,1.500,18.094,0.623
34,1.750,1.500,2.000,23.681,0.864
35,2.250,2.000,2.500,23.347,0.969
36,2.750,2.500,3.000,18.286,0.808
37,3.250,3.000,3.500,14.595,0.710
38,3.750,3.500,4.000,10.928,0.628
39,4.250,4.000,4.500,7.299,0.490
40,4.750,4.500,5.000,4.568,0.385
41,5.250,5.000,5.500,1.907,0.173
42,5.750,5.500,6.000,0.964,0.123
43,6.250,6.000,6.500,0.299,0.021
44,6.750,6.500,7.000,0.210,0.038
45,7.250,7.000,7.500,0.054,0.004
46,7.750,7.500,8.000,0.013,0.002
47,8.250,8.000,8.500,0.001,0.000
48,8.750,8.500,9.000,0.000,0.000
49,9.250,9.000,9.500,0.000,0.000
50,9.750,9.500,10.000,0.000,0.000
51,10.250,10.000,10.500,0.000,0.000
52,10.750,10.500,11.000,0.000,0.000
53,11.250,11.000,11.500,0.000,0.000
54,11.750,11.500,12.000,0.000,0.000
55,12.250,12.000,12.500,0.000,0.000
56,12.750,12.500,13.000,0.000,0.000
57,13.250,13.000,13.500,0.000,0.000
58,13.750,13.500,14.000,0.000,0.000
59,14.250,14.000,14.500,0.000,0.000
60,14.750,14.500,15.000,0.000,0.000
