# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Invariant Mass, W   
# xbins      : 100   
# xlabel     :  invariant mass, W [GeV]   
# xbin_width : 0.025 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.013,0.000,0.025,0.963,0.193
2,0.038,0.025,0.050,3.146,0.365
3,0.062,0.050,0.075,5.980,0.552
4,0.088,0.075,0.100,8.499,0.587
5,0.113,0.100,0.125,8.873,0.618
6,0.138,0.125,0.150,11.576,0.694
7,0.163,0.150,0.175,15.738,0.880
8,0.188,0.175,0.200,16.666,0.869
9,0.213,0.200,0.225,17.767,0.884
10,0.237,0.225,0.250,23.662,1.118
11,0.263,0.250,0.275,27.302,1.150
12,0.288,0.275,0.300,27.026,1.156
13,0.312,0.300,0.325,34.009,1.357
14,0.338,0.325,0.350,37.113,1.377
15,0.363,0.350,0.375,42.402,1.536
16,0.388,0.375,0.400,45.316,1.556
17,0.413,0.400,0.425,50.940,1.710
18,0.438,0.425,0.450,51.863,1.670
19,0.463,0.450,0.475,55.288,1.740
20,0.488,0.475,0.500,59.670,1.742
21,0.512,0.500,0.525,66.217,1.854
22,0.538,0.525,0.550,65.671,1.829
23,0.562,0.550,0.575,66.992,1.800
24,0.588,0.575,0.600,66.828,1.760
25,0.613,0.600,0.625,69.114,1.768
26,0.637,0.625,0.650,72.172,1.792
27,0.663,0.650,0.675,68.192,1.675
28,0.688,0.675,0.700,68.502,1.637
29,0.713,0.700,0.725,67.147,1.601
30,0.738,0.725,0.750,62.931,1.491
31,0.762,0.750,0.775,59.549,1.377
32,0.788,0.775,0.800,58.234,1.337
33,0.812,0.800,0.825,54.152,1.245
34,0.838,0.825,0.850,49.888,1.158
35,0.863,0.850,0.875,43.880,1.021
36,0.887,0.875,0.900,42.267,0.980
37,0.913,0.900,0.925,35.810,0.817
38,0.938,0.925,0.950,31.231,0.716
39,0.963,0.950,0.975,26.622,0.611
40,0.988,0.975,1.000,22.377,0.512
41,1.013,1.000,1.025,16.932,0.395
42,1.038,1.025,1.050,13.175,0.317
43,1.062,1.050,1.075,10.102,0.246
44,1.087,1.075,1.100,7.159,0.175
45,1.113,1.100,1.125,5.075,0.128
46,1.138,1.125,1.150,3.357,0.087
47,1.163,1.150,1.175,2.468,0.067
48,1.188,1.175,1.200,1.611,0.046
49,1.213,1.200,1.225,1.056,0.031
50,1.238,1.225,1.250,0.630,0.020
51,1.263,1.250,1.275,0.358,0.013
52,1.288,1.275,1.300,0.204,0.009
53,1.312,1.300,1.325,0.097,0.005
54,1.338,1.325,1.350,0.050,0.004
55,1.363,1.350,1.375,0.017,0.002
56,1.388,1.375,1.400,0.007,0.001
57,1.413,1.400,1.425,0.003,0.001
58,1.438,1.425,1.450,0.000,0.000
59,1.463,1.450,1.475,0.000,0.000
60,1.488,1.475,1.500,0.000,0.000
61,1.513,1.500,1.525,0.000,0.000
62,1.538,1.525,1.550,0.000,0.000
63,1.562,1.550,1.575,0.000,0.000
64,1.588,1.575,1.600,0.000,0.000
65,1.613,1.600,1.625,0.000,0.000
66,1.638,1.625,1.650,0.000,0.000
67,1.663,1.650,1.675,0.000,0.000
68,1.688,1.675,1.700,0.000,0.000
69,1.713,1.700,1.725,0.000,0.000
70,1.738,1.725,1.750,0.000,0.000
71,1.763,1.750,1.775,0.000,0.000
72,1.788,1.775,1.800,0.000,0.000
73,1.812,1.800,1.825,0.000,0.000
74,1.838,1.825,1.850,0.000,0.000
75,1.863,1.850,1.875,0.000,0.000
76,1.888,1.875,1.900,0.000,0.000
77,1.913,1.900,1.925,0.000,0.000
78,1.938,1.925,1.950,0.000,0.000
79,1.963,1.950,1.975,0.000,0.000
80,1.988,1.975,2.000,0.000,0.000
81,2.013,2.000,2.025,0.000,0.000
82,2.038,2.025,2.050,0.000,0.000
83,2.062,2.050,2.075,0.000,0.000
84,2.088,2.075,2.100,0.000,0.000
85,2.112,2.100,2.125,0.000,0.000
86,2.138,2.125,2.150,0.000,0.000
87,2.163,2.150,2.175,0.000,0.000
88,2.188,2.175,2.200,0.000,0.000
89,2.213,2.200,2.225,0.000,0.000
90,2.237,2.225,2.250,0.000,0.000
91,2.263,2.250,2.275,0.000,0.000
92,2.288,2.275,2.300,0.000,0.000
93,2.312,2.300,2.325,0.000,0.000
94,2.338,2.325,2.350,0.000,0.000
95,2.362,2.350,2.375,0.000,0.000
96,2.388,2.375,2.400,0.000,0.000
97,2.413,2.400,2.425,0.000,0.000
98,2.438,2.425,2.450,0.000,0.000
99,2.463,2.450,2.475,0.000,0.000
100,2.487,2.475,2.500,0.000,0.000
