# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.005 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.347,-0.350,-0.345,0.000,0.000
2,-0.342,-0.345,-0.340,0.000,0.000
3,-0.337,-0.340,-0.335,0.000,0.000
4,-0.332,-0.335,-0.330,0.000,0.000
5,-0.327,-0.330,-0.325,0.000,0.000
6,-0.322,-0.325,-0.320,0.000,0.000
7,-0.317,-0.320,-0.315,0.000,0.000
8,-0.312,-0.315,-0.310,0.000,0.000
9,-0.307,-0.310,-0.305,0.000,0.000
10,-0.302,-0.305,-0.300,0.000,0.000
11,-0.297,-0.300,-0.295,0.000,0.000
12,-0.292,-0.295,-0.290,0.000,0.000
13,-0.287,-0.290,-0.285,0.000,0.000
14,-0.282,-0.285,-0.280,0.000,0.000
15,-0.277,-0.280,-0.275,0.000,0.000
16,-0.272,-0.275,-0.270,0.000,0.000
17,-0.267,-0.270,-0.265,0.000,0.000
18,-0.262,-0.265,-0.260,0.000,0.000
19,-0.258,-0.260,-0.255,0.000,0.000
20,-0.253,-0.255,-0.250,0.000,0.000
21,-0.247,-0.250,-0.245,0.000,0.000
22,-0.242,-0.245,-0.240,0.000,0.000
23,-0.237,-0.240,-0.235,0.019,0.019
24,-0.232,-0.235,-0.230,0.000,0.000
25,-0.227,-0.230,-0.225,0.000,0.000
26,-0.222,-0.225,-0.220,0.021,0.021
27,-0.217,-0.220,-0.215,0.000,0.000
28,-0.212,-0.215,-0.210,0.176,0.175
29,-0.207,-0.210,-0.205,7.839,7.279
30,-0.202,-0.205,-0.200,39.405,39.405
31,-0.197,-0.200,-0.195,90.532,90.532
32,-0.192,-0.195,-0.190,0.043,0.028
33,-0.187,-0.190,-0.185,0.354,0.182
34,-0.182,-0.185,-0.180,32.327,31.195
35,-0.177,-0.180,-0.175,16.221,11.454
36,-0.172,-0.175,-0.170,58.861,53.418
37,-0.167,-0.170,-0.165,17.891,10.425
38,-0.162,-0.165,-0.160,15.996,8.166
39,-0.157,-0.160,-0.155,189.151,61.886
40,-0.152,-0.155,-0.150,452.020,178.119
41,-0.147,-0.150,-0.145,530.033,146.875
42,-0.142,-0.145,-0.140,920.079,173.958
43,-0.137,-0.140,-0.135,1420.982,303.828
44,-0.132,-0.135,-0.130,1713.955,319.172
45,-0.127,-0.130,-0.125,1636.584,291.882
46,-0.122,-0.125,-0.120,1917.785,322.498
47,-0.117,-0.120,-0.115,2665.993,523.285
48,-0.112,-0.115,-0.110,2951.355,585.439
49,-0.107,-0.110,-0.105,3663.543,573.507
50,-0.102,-0.105,-0.100,3681.056,767.835
51,-0.097,-0.100,-0.095,2891.467,426.714
52,-0.092,-0.095,-0.090,3459.568,747.814
53,-0.087,-0.090,-0.085,2727.059,446.240
54,-0.082,-0.085,-0.080,4247.095,712.602
55,-0.077,-0.080,-0.075,3624.127,591.249
56,-0.072,-0.075,-0.070,3427.222,521.833
57,-0.067,-0.070,-0.065,3354.788,543.630
58,-0.062,-0.065,-0.060,3908.563,702.670
59,-0.057,-0.060,-0.055,4963.145,869.156
60,-0.052,-0.055,-0.050,4904.444,894.268
61,-0.047,-0.050,-0.045,3334.495,562.194
62,-0.042,-0.045,-0.040,4385.283,667.635
63,-0.037,-0.040,-0.035,3702.325,695.669
64,-0.032,-0.035,-0.030,3966.008,700.037
65,-0.027,-0.030,-0.025,4263.334,850.025
66,-0.022,-0.025,-0.020,3753.899,808.649
67,-0.017,-0.020,-0.015,3518.850,674.591
68,-0.012,-0.015,-0.010,3540.805,825.430
69,-0.007,-0.010,-0.005,1903.456,482.070
70,-0.002,-0.005,0.000,460.883,111.062
71,0.003,0.000,0.005,169.039,42.042
72,0.008,0.005,0.010,111.784,47.634
73,0.013,0.010,0.015,6.357,3.448
74,0.018,0.015,0.020,0.000,0.000
75,0.023,0.020,0.025,0.005,0.005
76,0.028,0.025,0.030,0.000,0.000
77,0.033,0.030,0.035,0.000,0.000
78,0.038,0.035,0.040,0.000,0.000
79,0.043,0.040,0.045,0.000,0.000
80,0.048,0.045,0.050,0.000,0.000
81,0.053,0.050,0.055,0.081,0.081
82,0.058,0.055,0.060,0.000,0.000
83,0.063,0.060,0.065,0.000,0.000
84,0.068,0.065,0.070,0.000,0.000
85,0.073,0.070,0.075,0.000,0.000
86,0.078,0.075,0.080,0.000,0.000
87,0.083,0.080,0.085,0.000,0.000
88,0.088,0.085,0.090,0.000,0.000
89,0.093,0.090,0.095,0.000,0.000
90,0.098,0.095,0.100,0.000,0.000
91,0.103,0.100,0.105,0.000,0.000
92,0.108,0.105,0.110,0.000,0.000
93,0.113,0.110,0.115,0.000,0.000
94,0.118,0.115,0.120,0.000,0.000
95,0.123,0.120,0.125,0.000,0.000
96,0.128,0.125,0.130,0.000,0.000
97,0.133,0.130,0.135,0.000,0.000
98,0.138,0.135,0.140,0.000,0.000
99,0.143,0.140,0.145,0.000,0.000
100,0.148,0.145,0.150,0.000,0.000
