# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : SHMS X'_{fp}   
# xbins      : 60   
# xlabel     :  X'_{fp} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.059,-0.060,-0.058,0.000,0.000
2,-0.057,-0.058,-0.056,0.000,0.000
3,-0.055,-0.056,-0.054,0.000,0.000
4,-0.053,-0.054,-0.052,0.000,0.000
5,-0.051,-0.052,-0.050,0.000,0.000
6,-0.049,-0.050,-0.048,0.000,0.000
7,-0.047,-0.048,-0.046,0.000,0.000
8,-0.045,-0.046,-0.044,0.000,0.000
9,-0.043,-0.044,-0.042,0.000,0.000
10,-0.041,-0.042,-0.040,0.000,0.000
11,-0.039,-0.040,-0.038,0.000,0.000
12,-0.037,-0.038,-0.036,0.000,0.000
13,-0.035,-0.036,-0.034,0.000,0.000
14,-0.033,-0.034,-0.032,0.000,0.000
15,-0.031,-0.032,-0.030,0.000,0.000
16,-0.029,-0.030,-0.028,0.000,0.000
17,-0.027,-0.028,-0.026,0.000,0.000
18,-0.025,-0.026,-0.024,0.000,0.000
19,-0.023,-0.024,-0.022,0.000,0.000
20,-0.021,-0.022,-0.020,0.000,0.000
21,-0.019,-0.020,-0.018,0.000,0.000
22,-0.017,-0.018,-0.016,0.000,0.000
23,-0.015,-0.016,-0.014,0.000,0.000
24,-0.013,-0.014,-0.012,0.000,0.000
25,-0.011,-0.012,-0.010,0.000,0.000
26,-0.009,-0.010,-0.008,0.000,0.000
27,-0.007,-0.008,-0.006,0.000,0.000
28,-0.005,-0.006,-0.004,0.000,0.000
29,-0.003,-0.004,-0.002,0.000,0.000
30,-0.001,-0.002,0.000,0.000,0.000
31,0.001,0.000,0.002,0.000,0.000
32,0.003,0.002,0.004,0.000,0.000
33,0.005,0.004,0.006,0.000,0.000
34,0.007,0.006,0.008,0.000,0.000
35,0.009,0.008,0.010,0.040,0.012
36,0.011,0.010,0.012,1.651,0.097
37,0.013,0.012,0.014,15.380,0.458
38,0.015,0.014,0.016,62.312,1.560
39,0.017,0.016,0.018,169.751,4.056
40,0.019,0.018,0.020,464.628,11.780
41,0.021,0.020,0.022,1250.791,33.019
42,0.023,0.022,0.024,3382.900,97.822
43,0.025,0.024,0.026,9065.937,289.555
44,0.027,0.026,0.028,24419.725,712.592
45,0.029,0.028,0.030,52394.680,1408.636
46,0.031,0.030,0.032,90711.289,2176.989
47,0.033,0.032,0.034,122608.891,2728.278
48,0.035,0.034,0.036,139811.281,2976.419
49,0.037,0.036,0.038,121711.141,2735.135
50,0.039,0.038,0.040,96834.281,2382.735
51,0.041,0.040,0.042,52052.957,1616.394
52,0.043,0.042,0.044,20482.484,697.536
53,0.045,0.044,0.046,6901.409,261.824
54,0.047,0.046,0.048,1961.272,60.936
55,0.049,0.048,0.050,675.396,19.804
56,0.051,0.050,0.052,254.234,5.178
57,0.053,0.052,0.054,128.335,1.775
58,0.055,0.054,0.056,85.169,0.961
59,0.057,0.056,0.058,58.435,0.670
60,0.059,0.058,0.060,33.960,0.464
