# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : In-Plane Angle, $\theta_{pq}$ (vertex)   
# xbins      : 40   
# xlabel     :  in-plane angle, $\theta_{pq}$ [deg]   
# xbin_width : 1.000 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.500,0.000,1.000,168.352,24.546
2,1.500,1.000,2.000,906.226,65.493
3,2.500,2.000,3.000,1598.740,88.602
4,3.500,3.000,4.000,2427.770,113.570
5,4.500,4.000,5.000,3189.231,126.596
6,5.500,5.000,6.000,3211.100,123.560
7,6.500,6.000,7.000,2499.804,97.517
8,7.500,7.000,8.000,1592.432,62.538
9,8.500,8.000,9.000,790.983,31.998
10,9.500,9.000,10.000,242.149,11.617
11,10.500,10.000,11.000,64.370,3.550
12,11.500,11.000,12.000,24.317,1.065
13,12.500,12.000,13.000,12.825,0.331
14,13.500,13.000,14.000,7.474,0.205
15,14.500,14.000,15.000,4.206,0.131
16,15.500,15.000,16.000,2.210,0.082
17,16.500,16.000,17.000,0.760,0.041
18,17.500,17.000,18.000,0.141,0.018
19,18.500,18.000,19.000,0.000,0.000
20,19.500,19.000,20.000,0.000,0.000
21,20.500,20.000,21.000,0.000,0.000
22,21.500,21.000,22.000,0.000,0.000
23,22.500,22.000,23.000,0.000,0.000
24,23.500,23.000,24.000,0.000,0.000
25,24.500,24.000,25.000,0.000,0.000
26,25.500,25.000,26.000,0.000,0.000
27,26.500,26.000,27.000,0.000,0.000
28,27.500,27.000,28.000,0.000,0.000
29,28.500,28.000,29.000,0.000,0.000
30,29.500,29.000,30.000,0.000,0.000
31,30.500,30.000,31.000,0.000,0.000
32,31.500,31.000,32.000,0.000,0.000
33,32.500,32.000,33.000,0.000,0.000
34,33.500,33.000,34.000,0.000,0.000
35,34.500,34.000,35.000,0.000,0.000
36,35.500,35.000,36.000,0.000,0.000
37,36.500,36.000,37.000,0.000,0.000
38,37.500,37.000,38.000,0.000,0.000
39,38.500,38.000,39.000,0.000,0.000
40,39.500,39.000,40.000,0.000,0.000
