# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : HMS  X'_{tar}   
# xbins      : 100   
# xlabel     :  X'_{tar} [rad]   
# xbin_width : 0.002 
# ylabel     :  Counts    
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,-0.099,-0.100,-0.098,0.000,0.000
2,-0.097,-0.098,-0.096,0.000,0.000
3,-0.095,-0.096,-0.094,0.000,0.000
4,-0.093,-0.094,-0.092,0.000,0.000
5,-0.091,-0.092,-0.090,0.000,0.000
6,-0.089,-0.090,-0.088,0.000,0.000
7,-0.087,-0.088,-0.086,0.000,0.000
8,-0.085,-0.086,-0.084,0.000,0.000
9,-0.083,-0.084,-0.082,0.000,0.000
10,-0.081,-0.082,-0.080,0.000,0.000
11,-0.079,-0.080,-0.078,0.000,0.000
12,-0.077,-0.078,-0.076,0.000,0.000
13,-0.075,-0.076,-0.074,0.000,0.000
14,-0.073,-0.074,-0.072,0.000,0.000
15,-0.071,-0.072,-0.070,0.000,0.000
16,-0.069,-0.070,-0.068,0.057,0.004
17,-0.067,-0.068,-0.066,0.114,0.005
18,-0.065,-0.066,-0.064,0.118,0.005
19,-0.063,-0.064,-0.062,0.149,0.006
20,-0.061,-0.062,-0.060,0.163,0.007
21,-0.059,-0.060,-0.058,0.180,0.007
22,-0.057,-0.058,-0.056,0.177,0.007
23,-0.055,-0.056,-0.054,0.182,0.007
24,-0.053,-0.054,-0.052,0.193,0.007
25,-0.051,-0.052,-0.050,0.192,0.007
26,-0.049,-0.050,-0.048,0.214,0.008
27,-0.047,-0.048,-0.046,0.231,0.008
28,-0.045,-0.046,-0.044,0.233,0.008
29,-0.043,-0.044,-0.042,0.226,0.007
30,-0.041,-0.042,-0.040,0.255,0.009
31,-0.039,-0.040,-0.038,0.260,0.009
32,-0.037,-0.038,-0.036,0.250,0.008
33,-0.035,-0.036,-0.034,0.273,0.009
34,-0.033,-0.034,-0.032,0.262,0.008
35,-0.031,-0.032,-0.030,0.276,0.009
36,-0.029,-0.030,-0.028,0.265,0.009
37,-0.027,-0.028,-0.026,0.283,0.009
38,-0.025,-0.026,-0.024,0.279,0.009
39,-0.023,-0.024,-0.022,0.271,0.009
40,-0.021,-0.022,-0.020,0.269,0.008
41,-0.019,-0.020,-0.018,0.278,0.009
42,-0.017,-0.018,-0.016,0.275,0.009
43,-0.015,-0.016,-0.014,0.283,0.009
44,-0.013,-0.014,-0.012,0.269,0.009
45,-0.011,-0.012,-0.010,0.271,0.009
46,-0.009,-0.010,-0.008,0.284,0.009
47,-0.007,-0.008,-0.006,0.272,0.009
48,-0.005,-0.006,-0.004,0.267,0.009
49,-0.003,-0.004,-0.002,0.272,0.009
50,-0.001,-0.002,0.000,0.284,0.009
51,0.001,0.000,0.002,0.284,0.009
52,0.003,0.002,0.004,0.286,0.010
53,0.005,0.004,0.006,0.282,0.009
54,0.007,0.006,0.008,0.263,0.008
55,0.009,0.008,0.010,0.270,0.008
56,0.011,0.010,0.012,0.271,0.009
57,0.013,0.012,0.014,0.280,0.009
58,0.015,0.014,0.016,0.295,0.009
59,0.017,0.016,0.018,0.292,0.009
60,0.019,0.018,0.020,0.275,0.009
61,0.021,0.020,0.022,0.281,0.009
62,0.023,0.022,0.024,0.280,0.009
63,0.025,0.024,0.026,0.282,0.009
64,0.027,0.026,0.028,0.270,0.009
65,0.029,0.028,0.030,0.262,0.008
66,0.031,0.030,0.032,0.260,0.008
67,0.033,0.032,0.034,0.280,0.009
68,0.035,0.034,0.036,0.285,0.009
69,0.037,0.036,0.038,0.261,0.008
70,0.039,0.038,0.040,0.251,0.008
71,0.041,0.040,0.042,0.259,0.008
72,0.043,0.042,0.044,0.248,0.008
73,0.045,0.044,0.046,0.225,0.008
74,0.047,0.046,0.048,0.207,0.007
75,0.049,0.048,0.050,0.201,0.007
76,0.051,0.050,0.052,0.205,0.008
77,0.053,0.052,0.054,0.198,0.007
78,0.055,0.054,0.056,0.173,0.006
79,0.057,0.056,0.058,0.174,0.007
80,0.059,0.058,0.060,0.166,0.006
81,0.061,0.060,0.062,0.154,0.006
82,0.063,0.062,0.064,0.132,0.006
83,0.065,0.064,0.066,0.121,0.005
84,0.067,0.066,0.068,0.098,0.005
85,0.069,0.068,0.070,0.049,0.004
86,0.071,0.070,0.072,0.000,0.000
87,0.073,0.072,0.074,0.000,0.000
88,0.075,0.074,0.076,0.000,0.000
89,0.077,0.076,0.078,0.000,0.000
90,0.079,0.078,0.080,0.000,0.000
91,0.081,0.080,0.082,0.000,0.000
92,0.083,0.082,0.084,0.000,0.000
93,0.085,0.084,0.086,0.000,0.000
94,0.087,0.086,0.088,0.000,0.000
95,0.089,0.088,0.090,0.000,0.000
96,0.091,0.090,0.092,0.000,0.000
97,0.093,0.092,0.094,0.000,0.000
98,0.095,0.094,0.096,0.000,0.000
99,0.097,0.096,0.098,0.000,0.000
100,0.099,0.098,0.100,0.000,0.000
