# 1D Histogram Bin Extraction 
#                   
# histogram parameters:  
# title      : Missing Momentum, P_{miss}   
# xbins      : 40   
# xlabel     :  missing momentum, P_{m} [GeV/c]   
# xbin_width : 0.040 
# ylabel     :  Counts   
#                   
# header definitions:
# xb:         x-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# ycont:      bin content (y-axis) 
# ycont_err:  bin content error (y-axis) 
#                                        
xb,x0,xlow,xup,ycont,ycont_err
1,0.000,-0.020,0.020,0.000,0.000
2,0.040,0.020,0.060,0.000,0.000
3,0.080,0.060,0.100,0.000,0.000
4,0.120,0.100,0.140,0.000,0.000
5,0.160,0.140,0.180,0.000,0.000
6,0.200,0.180,0.220,0.000,0.000
7,0.240,0.220,0.260,0.000,0.000
8,0.280,0.260,0.300,0.000,0.000
9,0.320,0.300,0.340,0.000,0.000
10,0.360,0.340,0.380,48.765,7.620
11,0.400,0.380,0.420,298.080,15.695
12,0.440,0.420,0.460,707.279,19.795
13,0.480,0.460,0.500,1013.284,20.096
14,0.520,0.500,0.540,1233.096,19.136
15,0.560,0.540,0.580,1275.110,16.849
16,0.600,0.580,0.620,1223.153,14.262
17,0.640,0.620,0.660,1017.773,11.198
18,0.680,0.660,0.700,820.619,8.644
19,0.720,0.700,0.740,624.795,6.397
20,0.760,0.740,0.780,459.637,4.618
21,0.800,0.780,0.820,330.178,3.277
22,0.840,0.820,0.860,231.442,2.266
23,0.880,0.860,0.900,155.297,1.514
24,0.920,0.900,0.940,101.658,0.988
25,0.960,0.940,0.980,64.080,0.626
26,1.000,0.980,1.020,37.565,0.373
27,1.040,1.020,1.060,21.768,0.217
28,1.080,1.060,1.100,11.772,0.120
29,1.120,1.100,1.140,5.895,0.061
30,1.160,1.140,1.180,2.690,0.029
31,1.200,1.180,1.220,0.722,0.012
32,1.240,1.220,1.260,0.078,0.004
33,1.280,1.260,1.300,0.005,0.001
34,1.320,1.300,1.340,0.000,0.000
35,1.360,1.340,1.380,0.000,0.000
36,1.400,1.380,1.420,0.000,0.000
37,1.440,1.420,1.460,0.000,0.000
38,1.480,1.460,1.500,0.000,0.000
39,1.520,1.500,1.540,0.000,0.000
40,1.560,1.540,1.580,0.000,0.000
